students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-112325,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112328,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112486,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112941,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113123,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113241,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113334,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113632,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113757,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113834,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113873,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-113918,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114081,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114144,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114182,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114219,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114222,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114369,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114484,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114487,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114498,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114546,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114558,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114573,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114752,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114874,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-114929,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115287,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115406,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115461,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115497,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115561,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115568,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-115655,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
